,index,coordinates
479,1610,"(35.79927, -78.721800000000002)"
480,1612,"(35.799729999999997, -78.716399999999993)"
481,1614,"(35.799810000000001, -78.723500000000001)"
482,1616,"(35.800240000000002, -78.716099999999997)"
483,1617,"(35.800319999999999, -78.561199999999999)"
484,1622,"(35.805880000000002, -78.593400000000003)"
485,1623,"(35.806159999999998, -78.638499999999993)"
486,1630,"(35.813099999999999, -78.689700000000002)"
487,1631,"(35.813319999999997, -78.625100000000003)"
488,1633,"(35.814219999999999, -78.677700000000002)"
489,1635,"(35.815219999999997, -78.625900000000001)"
490,1636,"(35.815249999999999, -78.689300000000003)"
491,1638,"(35.815530000000003, -78.700299999999999)"
492,1641,"(35.815809999999999, -78.694699999999997)"
493,1648,"(35.823709999999998, -78.5886)"
494,1649,"(35.824120000000001, -78.591899999999995)"
495,1650,"(35.82479, -78.618600000000001)"
496,1651,"(35.824890000000003, -78.708699999999993)"
497,1652,"(35.825229999999998, -78.630200000000002)"
498,1653,"(35.825980000000001, -78.621399999999994)"
499,1656,"(35.828769999999999, -78.619600000000005)"
500,1659,"(35.83034, -78.618899999999996)"
501,1661,"(35.8307, -78.619299999999996)"
502,1663,"(35.832279999999997, -78.569199999999995)"
503,1665,"(35.834069999999997, -78.712299999999999)"
504,1666,"(35.834400000000002, -78.582599999999999)"
505,1668,"(35.834780000000002, -78.6053)"
506,1669,"(35.834899999999998, -78.615499999999997)"
507,1670,"(35.835039999999999, -78.6524)"
508,1671,"(35.835659999999997, -78.609800000000007)"
509,1672,"(35.835709999999999, -78.5792)"
510,1673,"(35.836199999999998, -78.674499999999995)"
511,1674,"(35.83625, -78.674800000000005)"
512,1675,"(35.83625, -78.645799999999994)"
513,1676,"(35.836449999999999, -78.585400000000007)"
514,1677,"(35.836559999999999, -78.593299999999999)"
515,1679,"(35.838270000000001, -78.691800000000001)"
516,1680,"(35.838279999999997, -78.674000000000007)"
517,1682,"(35.840009999999999, -78.612200000000001)"
518,1683,"(35.840319999999998, -78.611599999999996)"
519,1685,"(35.84075, -78.665099999999995)"
520,1686,"(35.840919999999997, -78.612399999999994)"
521,1687,"(35.841160000000002, -78.678399999999996)"
522,1690,"(35.844200000000001, -78.579899999999995)"
523,1692,"(35.845820000000003, -78.593699999999998)"
524,1693,"(35.845840000000003, -78.587299999999999)"
525,1699,"(35.849490000000003, -78.583500000000001)"
526,1700,"(35.849919999999997, -78.647800000000004)"
527,1701,"(35.850110000000001, -78.580699999999993)"
528,1702,"(35.850209999999997, -78.580299999999994)"
529,1704,"(35.850879999999997, -78.585800000000006)"
530,1709,"(35.854649999999999, -78.557900000000004)"
531,1710,"(35.854680000000002, -78.705699999999993)"
532,1713,"(35.855609999999999, -78.575800000000001)"
533,1714,"(35.857239999999997, -78.666300000000007)"
534,1715,"(35.859389999999998, -78.706500000000005)"
535,1716,"(35.8596, -78.646500000000003)"
536,1717,"(35.86027, -78.704599999999999)"
537,1719,"(35.861640000000001, -78.598500000000001)"
538,1720,"(35.865479999999998, -78.592100000000002)"
539,1721,"(35.867080000000001, -78.620599999999996)"
540,1724,"(35.869970000000002, -78.580100000000002)"
541,1725,"(35.871510000000001, -78.679000000000002)"
542,1726,"(35.87229, -78.718699999999998)"
543,1727,"(35.875239999999998, -78.6447)"
544,1737,"(35.883890000000001, -78.739900000000006)"
545,1739,"(35.885509999999996, -78.6601)"
546,1740,"(35.885959999999997, -78.589699999999993)"
547,1746,"(35.889040000000001, -78.719499999999996)"
548,1748,"(35.889710000000001, -78.556299999999993)"
549,1752,"(35.893039999999999, -78.650099999999995)"
550,1755,"(35.898760000000003, -78.681100000000001)"
551,1757,"(35.898910000000001, -78.559200000000004)"
552,1758,"(35.899749999999997, -78.6815)"
553,1761,"(35.899889999999999, -78.558099999999996)"
554,1764,"(35.901090000000003, -78.6815)"
555,1791,"(35.9129, -78.781700000000001)"
556,1793,"(35.914839999999998, -78.782499999999999)"
557,1801,"(35.918640000000003, -78.795699999999997)"
558,1871,"(35.961669999999998, -78.562100000000001)"
559,1522,"(35.726480000000002, -78.56344)"
560,1537,"(35.731346000000002, -78.653649999999999)"
561,1547,"(35.736412000000001, -78.650406000000004)"
562,1558,"(35.74183, -78.614599999999996)"
563,1561,"(35.742252000000001, -78.631134000000003)"
564,1563,"(35.742733000000001, -78.633790000000005)"
565,1568,"(35.747450000000001, -78.542429999999996)"
566,1570,"(35.748615000000001, -78.612815999999995)"
567,1572,"(35.748897999999997, -78.648920000000004)"
568,1573,"(35.749256000000003, -78.695610000000002)"
569,1574,"(35.749625999999999, -78.618200000000002)"
570,1575,"(35.751854000000002, -78.630340000000004)"
571,1578,"(35.752406999999998, -78.556984)"
572,1579,"(35.752853000000002, -78.63194)"
573,1582,"(35.754530000000003, -78.612390000000005)"
574,1585,"(35.755543000000003, -78.666049999999998)"
575,1592,"(35.759064000000002, -78.638596000000007)"
576,1593,"(35.76003, -78.732635000000002)"
577,1595,"(35.761288, -78.649055000000004)"
578,1596,"(35.763443000000002, -78.633279999999999)"
579,1597,"(35.7637, -78.662959999999998)"
580,1598,"(35.763897, -78.641279999999995)"
581,1603,"(35.765799999999999, -78.633970000000005)"
582,1605,"(35.766295999999997, -78.697609999999997)"
583,1606,"(35.766933000000002, -78.705439999999996)"
584,1607,"(35.766953000000001, -78.694969999999998)"
585,1608,"(35.76699, -78.637110000000007)"
586,1609,"(35.767277, -78.642005999999995)"
587,1614,"(35.768307, -78.650109999999998)"
588,1616,"(35.768425000000001, -78.694069999999996)"
589,1617,"(35.768932, -78.709289999999996)"
590,1618,"(35.770287000000003, -78.612970000000004)"
591,1621,"(35.771087999999999, -78.647155999999995)"
592,1622,"(35.771408000000001, -78.582599999999999)"
593,1624,"(35.772213000000001, -78.636849999999995)"
594,1628,"(35.7727, -78.628296000000006)"
595,1630,"(35.773009999999999, -78.639499999999998)"
596,1632,"(35.774292000000003, -78.726420000000005)"
597,1634,"(35.774532000000001, -78.621690000000001)"
598,1635,"(35.775097000000002, -78.619575999999995)"
599,1636,"(35.775322000000003, -78.607410000000002)"
600,1637,"(35.775593000000001, -78.639340000000004)"
601,1638,"(35.775689999999997, -78.643720000000002)"
602,1639,"(35.775714999999998, -78.641884000000005)"
603,1640,"(35.775730000000003, -78.655379999999994)"
604,1642,"(35.776665000000001, -78.627200000000002)"
605,1644,"(35.776966000000002, -78.640140000000002)"
606,1645,"(35.776974000000003, -78.638306)"
607,1646,"(35.777119999999996, -78.678229999999999)"
608,1648,"(35.777569999999997, -78.637240000000006)"
609,1649,"(35.777709999999999, -78.623609999999999)"
610,1650,"(35.777842999999997, -78.691153999999997)"
611,1651,"(35.77816, -78.637726000000001)"
612,1652,"(35.778422999999997, -78.641800000000003)"
613,1653,"(35.778880000000001, -78.622474999999994)"
614,1655,"(35.779310000000002, -78.677269999999993)"
615,1656,"(35.779407999999997, -78.643394000000001)"
616,1657,"(35.779679999999999, -78.640015000000005)"
617,1658,"(35.779693999999999, -78.602599999999995)"
618,1659,"(35.779716000000001, -78.640110000000007)"
619,1660,"(35.779826999999997, -78.585740000000001)"
620,1662,"(35.780247000000003, -78.617469999999997)"
621,1663,"(35.780430000000003, -78.622314000000003)"
622,1664,"(35.780450000000002, -78.643439999999998)"
623,1665,"(35.78058, -78.644874999999999)"
624,1666,"(35.780610000000003, -78.625680000000003)"
625,1667,"(35.780887999999997, -78.675545)"
626,1668,"(35.780932999999997, -78.64752)"
627,1669,"(35.781241999999999, -78.639304999999993)"
628,1670,"(35.781334000000001, -78.644949999999994)"
629,1671,"(35.781494000000002, -78.641684999999995)"
630,1673,"(35.782097, -78.668549999999996)"
631,1677,"(35.782566000000003, -78.638885000000002)"
632,1678,"(35.782874999999997, -78.670689999999993)"
633,1679,"(35.783386, -78.651129999999995)"
634,1680,"(35.783546000000001, -78.549930000000003)"
635,1682,"(35.783714000000003, -78.721694999999997)"
636,1683,"(35.783783, -78.668419999999998)"
637,1684,"(35.784103000000002, -78.613590000000002)"
638,1685,"(35.784109999999998, -78.693309999999997)"
639,1686,"(35.784145000000002, -78.622169999999997)"
640,1688,"(35.78481, -78.689644000000001)"
641,1689,"(35.784953999999999, -78.722710000000006)"
642,1692,"(35.785057000000002, -78.69896)"
643,1693,"(35.785060000000001, -78.693020000000004)"
644,1694,"(35.785156000000001, -78.695366000000007)"
645,1695,"(35.785193999999997, -78.618126000000004)"
646,1696,"(35.785249999999998, -78.647300000000001)"
647,1698,"(35.785769999999999, -78.585499999999996)"
648,1699,"(35.786540000000002, -78.720690000000005)"
649,1700,"(35.786839999999998, -78.639679999999998)"
650,1703,"(35.787956000000001, -78.613299999999995)"
651,1705,"(35.78857, -78.645256000000003)"
652,1706,"(35.788629999999998, -78.650925000000001)"
653,1707,"(35.788905999999997, -78.668434000000005)"
654,1708,"(35.789380000000001, -78.663155000000003)"
655,1709,"(35.789496999999997, -78.675995)"
656,1711,"(35.790011999999997, -78.661439999999999)"
657,1712,"(35.790534999999998, -78.659324999999995)"
658,1714,"(35.791035000000001, -78.65401)"
659,1715,"(35.791080000000001, -78.651679999999999)"
660,1716,"(35.791539999999998, -78.662279999999996)"
661,1718,"(35.792892000000002, -78.613259999999997)"
662,1719,"(35.793014999999997, -78.547079999999994)"
663,1721,"(35.793762000000001, -78.634979999999999)"
664,1723,"(35.794296000000003, -78.610039999999998)"
665,1724,"(35.795839999999998, -78.652855000000002)"
666,1725,"(35.796436, -78.610590000000002)"
667,1726,"(35.796481999999997, -78.580789999999993)"
668,1727,"(35.796559999999999, -78.609504999999999)"
669,1728,"(35.797652999999997, -78.610010000000003)"
670,1730,"(35.798819999999999, -78.717399999999998)"
671,1731,"(35.799259999999997, -78.684309999999996)"
672,1733,"(35.800240000000002, -78.721339999999998)"
673,1735,"(35.802309999999999, -78.722970000000004)"
674,1738,"(35.803448000000003, -78.619579999999999)"
675,1741,"(35.804720000000003, -78.616900000000001)"
676,1743,"(35.807471999999997, -78.577470000000005)"
677,1744,"(35.807589999999998, -78.64358)"
678,1747,"(35.81344, -78.542465000000007)"
679,1750,"(35.815426000000002, -78.73809)"
680,1751,"(35.815722999999998, -78.691749999999999)"
681,1753,"(35.816240000000001, -78.601879999999994)"
682,1754,"(35.816242000000003, -78.695719999999994)"
683,1757,"(35.816837, -78.591790000000003)"
684,1761,"(35.819339999999997, -78.684105000000002)"
685,1762,"(35.819847000000003, -78.624399999999994)"
686,1767,"(35.823321999999997, -78.621390000000005)"
687,1769,"(35.825046999999998, -78.621889999999993)"
688,1770,"(35.82714, -78.666970000000006)"
689,1772,"(35.828609999999998, -78.584919999999997)"
690,1774,"(35.829666000000003, -78.617729999999995)"
691,1775,"(35.832599999999999, -78.617670000000004)"
692,1779,"(35.834040000000002, -78.583304999999996)"
693,1780,"(35.835383999999998, -78.639139999999998)"
694,1781,"(35.836376000000001, -78.608689999999996)"
695,1782,"(35.836486999999998, -78.608924999999999)"
696,1783,"(35.836919999999999, -78.645820000000001)"
697,1784,"(35.837043999999999, -78.613524999999996)"
698,1787,"(35.83849, -78.612560000000002)"
699,1789,"(35.843387999999997, -78.680359999999993)"
700,1790,"(35.844154000000003, -78.613990000000001)"
701,1791,"(35.844512999999999, -78.651910000000001)"
702,1793,"(35.846545999999996, -78.551569999999998)"
703,1798,"(35.8489, -78.611859999999993)"
704,1804,"(35.854115, -78.682320000000004)"
705,1805,"(35.854599999999998, -78.558130000000006)"
706,1806,"(35.855044999999997, -78.795649999999995)"
707,1807,"(35.855666999999997, -78.641019999999997)"
708,1808,"(35.857210000000002, -78.664540000000002)"
709,1809,"(35.857388, -78.712810000000005)"
710,1810,"(35.857570000000003, -78.580505000000002)"
711,1811,"(35.858696000000002, -78.601399999999998)"
712,1814,"(35.859610000000004, -78.646163999999999)"
713,1815,"(35.859639999999999, -78.646150000000006)"
714,1816,"(35.859673000000001, -78.646150000000006)"
715,1817,"(35.859943000000001, -78.705520000000007)"
716,1818,"(35.861477000000001, -78.599100000000007)"
717,1820,"(35.862439999999999, -78.628439999999998)"
718,1822,"(35.863250000000001, -78.619730000000004)"
719,1823,"(35.863776999999999, -78.576599999999999)"
720,1824,"(35.863939999999999, -78.635543999999996)"
721,1825,"(35.864609999999999, -78.579350000000005)"
722,1826,"(35.864899999999999, -78.604550000000003)"
723,1827,"(35.865765000000003, -78.598029999999994)"
724,1832,"(35.868442999999999, -78.611144999999993)"
725,1834,"(35.870539999999998, -78.624825000000001)"
726,1835,"(35.87106, -78.626710000000003)"
727,1836,"(35.871673999999999, -78.661529999999999)"
728,1837,"(35.871864000000002, -78.541695000000004)"
729,1838,"(35.872860000000003, -78.622389999999996)"
730,1839,"(35.873157999999997, -78.691400000000002)"
731,1849,"(35.887287000000001, -78.740943999999999)"
732,1854,"(35.890777999999997, -78.717640000000003)"
733,1860,"(35.892856999999999, -78.551019999999994)"
734,1861,"(35.894351999999998, -78.635400000000004)"
735,1864,"(35.897101999999997, -78.65925)"
736,1866,"(35.897765999999997, -78.650880000000001)"
737,1878,"(35.905459999999998, -78.591620000000006)"
738,1879,"(35.906013000000002, -78.792760000000001)"
739,1888,"(35.910946000000003, -78.783069999999995)"
740,1892,"(35.912666000000002, -78.778914999999998)"
741,1895,"(35.913739999999997, -78.779049999999998)"
742,1969,"(35.948794999999997, -78.571860000000001)"
743,1979,"(35.954017999999998, -78.545349999999999)"
744,119,"(35.817279999999997, -78.740700000000004)"
745,120,"(35.805230000000002, -78.545900000000003)"
746,121,"(35.84995, -78.580699999999993)"
747,122,"(35.800449999999998, -78.560000000000002)"
748,123,"(35.784910000000004, -78.647300000000001)"
749,124,"(35.772550000000003, -78.622500000000002)"
750,126,"(35.772100000000002, -78.638599999999997)"
751,127,"(35.769089999999998, -78.5809)"
752,129,"(35.839599999999997, -78.580600000000004)"
753,130,"(35.791820000000001, -78.693700000000007)"
754,199,"(35.795720000000003, -78.582599999999999)"
755,200,"(35.772590000000001, -78.714799999999997)"
756,201,"(35.80059, -78.731099999999998)"
757,202,"(35.732950000000002, -78.653700000000001)"
758,203,"(35.769089999999998, -78.585599999999999)"
759,223,"(35.781039999999997, -78.644000000000005)"
760,224,"(35.748280000000001, -78.643799999999999)"
761,225,"(35.816139999999997, -78.666399999999996)"
762,226,"(35.778350000000003, -78.641800000000003)"
763,227,"(35.77702, -78.641900000000007)"
764,228,"(35.788649999999997, -78.648799999999994)"
765,229,"(35.785179999999997, -78.6601)"
766,230,"(35.778179999999999, -78.636600000000001)"
767,238,"(35.912640000000003, -78.781899999999993)"
768,239,"(35.75179, -78.726399999999998)"
769,240,"(35.785499999999999, -78.6113)"
770,248,"(35.790419999999997, -78.678299999999993)"
771,295,"(35.779609999999998, -78.639099999999999)"
772,296,"(35.848289999999999, -78.588099999999997)"
773,304,"(35.780500000000004, -78.6417)"
774,305,"(35.771189999999997, -78.647999999999996)"
775,306,"(35.782640000000001, -78.641599999999997)"
776,307,"(35.787820000000004, -78.634)"
777,308,"(35.861469999999997, -78.638099999999994)"
778,312,"(35.749569999999999, -78.643199999999993)"
779,429,"(35.775640000000003, -78.640299999999996)"
780,432,"(35.767249999999997, -78.579499999999996)"
781,433,"(35.854640000000003, -78.713399999999993)"
782,434,"(35.910339999999998, -78.783100000000005)"
783,435,"(35.775640000000003, -78.640299999999996)"
784,436,"(35.849780000000003, -78.576899999999995)"
785,437,"(35.788069999999998, -78.6387)"
786,438,"(35.826039999999999, -78.704899999999995)"
787,439,"(35.818829999999998, -78.595799999999997)"
788,440,"(35.77413, -78.637500000000003)"
789,455,"(35.757300000000001, -78.692400000000006)"
790,514,"(35.748829999999998, -78.643299999999996)"
791,515,"(35.945749999999997, -78.569500000000005)"
792,517,"(35.842120000000001, -78.608599999999996)"
793,518,"(35.776899999999998, -78.638300000000001)"
794,519,"(35.789470000000001, -78.664000000000001)"
795,520,"(35.785530000000001, -78.724400000000003)"
796,521,"(35.779510000000002, -78.621099999999998)"
797,522,"(35.823120000000003, -78.622500000000002)"
798,523,"(35.74315, -78.652299999999997)"
799,524,"(35.942909999999998, -78.643299999999996)"
800,525,"(35.844320000000003, -78.609499999999997)"
801,526,"(35.768949999999997, -78.613299999999995)"
802,533,"(35.71255, -78.660600000000002)"
803,536,"(35.836440000000003, -78.596800000000002)"
804,537,"(35.832099999999997, -78.584100000000007)"
805,540,"(35.844110000000001, -78.590000000000003)"
806,545,"(35.788939999999997, -78.674499999999995)"
807,572,"(35.862139999999997, -78.636399999999995)"
808,573,"(35.769419999999997, -78.639099999999999)"
809,574,"(35.899610000000003, -78.580399999999997)"
810,575,"(35.775230000000001, -78.624899999999997)"
811,577,"(35.767040000000001, -78.6982)"
812,630,"(35.751519999999999, -78.648300000000006)"
813,631,"(35.767940000000003, -78.628299999999996)"
814,632,"(35.788780000000003, -78.583399999999997)"
815,633,"(35.782290000000003, -78.678799999999995)"
816,634,"(35.853050000000003, -78.579499999999996)"
817,635,"(35.78192, -78.647499999999994)"
818,649,"(35.910679999999999, -78.783600000000007)"
819,650,"(35.790999999999997, -78.656999999999996)"
820,665,"(35.786270000000002, -78.647300000000001)"
821,699,"(35.800640000000001, -78.633300000000006)"
822,700,"(35.802419999999998, -78.6083)"
823,701,"(35.76567, -78.628399999999999)"
824,763,"(35.769680000000001, -78.601600000000005)"
825,764,"(35.768949999999997, -78.613299999999995)"
826,765,"(35.762250000000002, -78.640299999999996)"
827,769,"(35.816270000000003, -78.685599999999994)"
828,770,"(35.827359999999999, -78.620400000000004)"
829,771,"(35.772100000000002, -78.638599999999997)"
830,781,"(35.796210000000002, -78.579800000000006)"
831,782,"(35.850189999999998, -78.605199999999996)"
832,834,"(35.782510000000002, -78.638000000000005)"
833,866,"(35.904200000000003, -78.786900000000003)"
834,867,"(35.768380000000001, -78.693299999999994)"
835,869,"(35.778410000000001, -78.643500000000003)"
836,894,"(35.781190000000002, -78.640799999999999)"
837,901,"(35.942909999999998, -78.643299999999996)"
838,919,"(35.88691, -78.566100000000006)"
839,923,"(35.772509999999997, -78.588999999999999)"
840,930,"(35.942900000000002, -78.643299999999996)"
841,931,"(35.782429999999998, -78.695599999999999)"
842,933,"(35.755679999999998, -78.564700000000002)"
843,942,"(35.7973, -78.577699999999993)"
844,948,"(35.78837, -78.580799999999996)"
845,949,"(35.783160000000002, -78.689899999999994)"
846,950,"(35.886850000000003, -78.566199999999995)"
847,958,"(35.783819999999999, -78.6126)"
848,961,"(35.772100000000002, -78.638599999999997)"
849,972,"(35.776200000000003, -78.725800000000007)"
850,978,"(35.820979999999999, -78.611900000000006)"
851,979,"(35.780709999999999, -78.6755)"
852,1005,"(35.869059999999998, -78.621200000000002)"
853,1017,"(35.848460000000003, -78.575100000000006)"
854,1033,"(35.782020000000003, -78.623500000000007)"
855,1054,"(35.765709999999999, -78.631600000000006)"
856,1055,"(35.83596, -78.675600000000003)"
857,1070,"(35.768729999999998, -78.632900000000006)"
858,1074,"(35.881790000000002, -78.655699999999996)"
859,1089,"(35.775689999999997, -78.641999999999996)"
860,1103,"(35.787950000000002, -78.583799999999997)"
861,1135,"(35.741210000000002, -78.630799999999994)"
862,1136,"(35.783929999999998, -78.639899999999997)"
863,1154,"(35.740290000000002, -78.619699999999995)"
864,1196,"(35.829129999999999, -78.585099999999997)"
865,1199,"(35.749389999999998, -78.576300000000003)"
866,1217,"(35.79128, -78.648600000000002)"
867,1218,"(35.772100000000002, -78.638599999999997)"
868,1237,"(35.899320000000003, -78.650300000000001)"
869,1245,"(35.853270000000002, -78.706599999999995)"
870,1265,"(35.75403, -78.613699999999994)"
871,1282,"(35.831760000000003, -78.636499999999998)"
872,1291,"(35.873779999999996, -78.581199999999995)"
873,1304,"(35.772100000000002, -78.638599999999997)"
874,1305,"(35.782429999999998, -78.695599999999999)"
875,1312,"(35.750689999999999, -78.611699999999999)"
876,1346,"(35.723120000000002, -78.547499999999999)"
877,1372,"(35.776499999999999, -78.626499999999993)"
878,1374,"(35.898260000000001, -78.681200000000004)"
879,1396,"(35.774189999999997, -78.587299999999999)"
880,1397,"(35.86965, -78.621600000000001)"
881,1402,"(35.763849999999998, -78.6357)"
882,1421,"(35.75056, -78.678700000000006)"
883,1425,"(35.868319999999997, -78.545299999999997)"
884,1444,"(35.78792, -78.587100000000007)"
885,1466,"(35.896540000000002, -78.550200000000004)"
886,1478,"(35.789549999999998, -78.661199999999994)"
887,1480,"(35.882579999999997, -78.509399999999999)"
888,1485,"(35.83717, -78.613200000000006)"
889,1486,"(35.794469999999997, -78.537400000000005)"
890,1487,"(35.799810000000001, -78.609099999999998)"
891,1500,"(35.756779999999999, -78.615399999999994)"
892,1502,"(35.779969999999999, -78.673000000000002)"
893,1510,"(35.872929999999997, -78.622299999999996)"
894,1529,"(35.756160000000001, -78.668700000000001)"
895,1535,"(35.815300000000001, -78.626199999999997)"
896,1536,"(35.893219999999999, -78.559600000000003)"
897,1562,"(35.908839999999998, -78.7851)"
898,1564,"(35.772100000000002, -78.638599999999997)"
899,1573,"(35.942909999999998, -78.643299999999996)"
900,1604,"(35.870849999999997, -78.580299999999994)"
901,1607,"(35.746920000000003, -78.653099999999995)"
902,1639,"(35.735489999999999, -78.650300000000001)"
903,1644,"(35.882100000000001, -78.648700000000005)"
904,1660,"(35.811909999999997, -78.656199999999998)"
905,1681,"(35.778410000000001, -78.643500000000003)"
906,1691,"(35.801670000000001, -78.717600000000004)"
907,1703,"(35.832830000000001, -78.574299999999994)"
908,1723,"(35.827359999999999, -78.620400000000004)"
909,1729,"(35.782290000000003, -78.678799999999995)"
910,1753,"(35.91046, -78.7821)"
911,1758,"(35.772880000000001, -78.638499999999993)"
912,1782,"(35.849069999999998, -78.601600000000005)"
913,1783,"(35.864789999999999, -78.579700000000003)"
914,1796,"(35.786270000000002, -78.647300000000001)"
915,1802,"(35.868209999999998, -78.620800000000003)"
916,1812,"(35.841059999999999, -78.611800000000002)"
917,1819,"(35.853270000000002, -78.6982)"
918,1821,"(35.817349999999998, -78.592200000000005)"
919,1823,"(35.840479999999999, -78.592799999999997)"
920,1874,"(35.773530000000001, -78.677000000000007)"
921,1914,"(35.77102, -78.583200000000005)"
922,1916,"(35.835610000000003, -78.593100000000007)"
923,1921,"(35.781120000000001, -78.636399999999995)"
924,1922,"(35.772100000000002, -78.638599999999997)"
925,1973,"(35.771189999999997, -78.620699999999999)"
926,1974,"(35.791110000000003, -78.651700000000005)"
927,1979,"(35.779949999999999, -78.649100000000004)"
928,1981,"(35.780329999999999, -78.620699999999999)"
929,1982,"(35.78425, -78.603300000000004)"
930,1983,"(35.87189, -78.648200000000003)"
931,1996,"(35.798850000000002, -78.5792)"
932,2034,"(35.776589999999999, -78.638800000000003)"
933,2043,"(35.748280000000001, -78.643799999999999)"
934,2072,"(35.850020000000001, -78.679900000000004)"
935,2075,"(35.779319999999998, -78.687200000000004)"
936,2093,"(35.747799999999998, -78.649000000000001)"
937,2094,"(35.784109999999998, -78.693799999999996)"
938,2095,"(35.784390000000002, -78.665899999999993)"
939,2101,"(35.826039999999999, -78.704899999999995)"
940,2103,"(35.779609999999998, -78.639099999999999)"
941,2112,"(35.783610000000003, -78.682299999999998)"
942,2123,"(35.784129999999998, -78.720500000000001)"
943,2124,"(35.804040000000001, -78.645899999999997)"
944,2150,"(35.8673, -78.563599999999994)"
945,2154,"(35.783740000000002, -78.721900000000005)"
946,2169,"(35.950339999999997, -78.571200000000005)"
947,2198,"(35.748809999999999, -78.648899999999998)"
948,2219,"(35.785539999999997, -78.712699999999998)"
949,2237,"(35.877899999999997, -78.674000000000007)"
950,2270,"(35.859720000000003, -78.712800000000001)"
951,2271,"(35.942880000000002, -78.643299999999996)"
952,2272,"(35.772100000000002, -78.638599999999997)"
953,2273,"(35.84928, -78.575800000000001)"
954,2280,"(35.851030000000002, -78.614500000000007)"
955,2281,"(35.859169999999999, -78.566699999999997)"
956,2286,"(35.824300000000001, -78.621799999999993)"
957,2287,"(35.815669999999997, -78.653800000000004)"
958,2288,"(35.769680000000001, -78.601600000000005)"
959,2289,"(35.779600000000002, -78.721100000000007)"
960,2290,"(35.763930000000002, -78.664199999999994)"
